ADDRESS	CRIME_TYPE	<YEAR1>	CRIME_COUNT	<YEAR2>	CRIME_COUNT...
-97.61003233,30.17355243	IMPOUNDED VEH	2015	1	2010	1	
-97.61003233,30.17355243	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61003233,30.17355243	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61003233,30.17355243	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61119912,30.35272257	IMPOUNDED VEH	2015	1	2010	1	
-97.61119912,30.35272257	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61119912,30.35272257	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61119912,30.35272257	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61182278,30.25699645	IMPOUNDED VEH	2015	1	2010	1	
-97.61182278,30.25699645	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61182278,30.25699645	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61182278,30.25699645	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61182612,30.17415166	IMPOUNDED VEH	2015	1	2010	1	
-97.61182612,30.17415166	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61182612,30.17415166	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61182612,30.17415166	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61182612,30.17415166	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61211918,30.36440115	IMPOUNDED VEH	2015	1	2010	1	
-97.61211918,30.36440115	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61211918,30.36440115	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61211918,30.36440115	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61211918,30.36440115	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61221182,30.34211917	IMPOUNDED VEH	2015	1	2010	1	
-97.61221182,30.34211917	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61221182,30.34211917	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61221182,30.34211917	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61221182,30.34211917	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61287821,30.35525834	IMPOUNDED VEH	2015	1	2010	1	
-97.61287821,30.35525834	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61287821,30.35525834	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61287821,30.35525834	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61287821,30.35525834	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61295597,30.35250131	IMPOUNDED VEH	2015	1	2010	1	
-97.61295597,30.35250131	CRIMINAL MISCHIEF	2015	2	2010	1	
-97.61295597,30.35250131	CRASH/LEAVING THE SCENE	2015	2	2010	2	
-97.61295597,30.35250131	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61295597,30.35250131	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61317976,30.36851904	IMPOUNDED VEH	2015	1	2010	2	
-97.61317976,30.36851904	CRASH/LEAVING THE SCENE	2015	5	2010	2	
-97.61317976,30.36851904	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61317976,30.36851904	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61317976,30.36851904	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61329178,30.34239237	IMPOUNDED VEH	2015	1	2010	2	
-97.61329178,30.34239237	CRASH/LEAVING THE SCENE	2015	5	2010	2	
-97.61329178,30.34239237	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61329178,30.34239237	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61329178,30.34239237	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61336275,30.36574224	IMPOUNDED VEH	2015	1	2010	2	
-97.61336275,30.36574224	CRASH/LEAVING THE SCENE	2015	5	2010	2	
-97.61336275,30.36574224	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61336275,30.36574224	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61336275,30.36574224	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61365773,30.34527157	IMPOUNDED VEH	2015	1	2010	2	
-97.61365773,30.34527157	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61365773,30.34527157	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61365773,30.34527157	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61365773,30.34527157	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61380111,30.35188388	IMPOUNDED VEH	2015	1	2010	2	
-97.61380111,30.35188388	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61380111,30.35188388	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61380111,30.35188388	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61380111,30.35188388	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61380111,30.35188388	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61384217,30.34739056	IMPOUNDED VEH	2015	1	2010	2	
-97.61384217,30.34739056	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61384217,30.34739056	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61384217,30.34739056	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61384217,30.34739056	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61384217,30.34739056	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61413763,30.17356544	IMPOUNDED VEH	2015	1	2010	2	
-97.61413763,30.17356544	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61413763,30.17356544	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61413763,30.17356544	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61413763,30.17356544	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61413763,30.17356544	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61445077,30.36877702	IMPOUNDED VEH	2015	1	2010	2	
-97.61445077,30.36877702	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61445077,30.36877702	DISTURBANCE - OTHER	2015	1	2010	1	
-97.61445077,30.36877702	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61445077,30.36877702	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61445077,30.36877702	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61579079,30.17263791	IMPOUNDED VEH	2015	1	2010	2	
-97.61579079,30.17263791	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61579079,30.17263791	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61579079,30.17263791	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61579079,30.17263791	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61579079,30.17263791	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.6158542,30.34317281	IMPOUNDED VEH	2015	1	2010	2	
-97.6158542,30.34317281	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.6158542,30.34317281	DISTURBANCE - OTHER	2015	1	2010	2	
-97.6158542,30.34317281	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.6158542,30.34317281	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.6158542,30.34317281	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61593769,30.35259203	IMPOUNDED VEH	2015	1	2010	3	
-97.61593769,30.35259203	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61593769,30.35259203	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61593769,30.35259203	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61593769,30.35259203	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61593769,30.35259203	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61645078,30.17899982	IMPOUNDED VEH	2015	1	2010	3	
-97.61645078,30.17899982	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61645078,30.17899982	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61645078,30.17899982	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61645078,30.17899982	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61645078,30.17899982	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61705374,30.3915672	IMPOUNDED VEH	2015	1	2010	3	
-97.61705374,30.3915672	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61705374,30.3915672	PUBLIC INTOXICATION	2015	1	2010	2	
-97.61705374,30.3915672	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61705374,30.3915672	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61705374,30.3915672	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61705374,30.3915672	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61782937,30.17297547	IMPOUNDED VEH	2015	1	2010	3	
-97.61782937,30.17297547	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61782937,30.17297547	PUBLIC INTOXICATION	2015	1	2010	2	
-97.61782937,30.17297547	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61782937,30.17297547	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61782937,30.17297547	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61782937,30.17297547	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61833573,30.17151475	IMPOUNDED VEH	2015	1	2010	3	
-97.61833573,30.17151475	CRASH/LEAVING THE SCENE	2015	5	2010	4	
-97.61833573,30.17151475	PUBLIC INTOXICATION	2015	1	2010	2	
-97.61833573,30.17151475	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61833573,30.17151475	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61833573,30.17151475	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61833573,30.17151475	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61835335,30.16716951	IMPOUNDED VEH	2015	1	2010	3	
-97.61835335,30.16716951	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.61835335,30.16716951	PUBLIC INTOXICATION	2015	1	2010	2	
-97.61835335,30.16716951	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61835335,30.16716951	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61835335,30.16716951	DRIVING WHILE LICENSE INVALID	2015	2	2010	1	
-97.61835335,30.16716951	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	1	
-97.61846231,30.1765864	IMPOUNDED VEH	2015	1	2010	3	
-97.61846231,30.1765864	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.61846231,30.1765864	PUBLIC INTOXICATION	2015	1	2010	2	
-97.61846231,30.1765864	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61846231,30.1765864	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61846231,30.1765864	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.61846231,30.1765864	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.6195372,30.17055009	IMPOUNDED VEH	2015	1	2010	3	
-97.6195372,30.17055009	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.6195372,30.17055009	PUBLIC INTOXICATION	2015	2	2010	2	
-97.6195372,30.17055009	DISTURBANCE - OTHER	2015	1	2010	2	
-97.6195372,30.17055009	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.6195372,30.17055009	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.6195372,30.17055009	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.61969843,30.16593561	IMPOUNDED VEH	2015	1	2010	3	
-97.61969843,30.16593561	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.61969843,30.16593561	PUBLIC INTOXICATION	2015	2	2010	2	
-97.61969843,30.16593561	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61969843,30.16593561	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61969843,30.16593561	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.61969843,30.16593561	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.61973923,30.16854109	IMPOUNDED VEH	2015	1	2010	3	
-97.61973923,30.16854109	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.61973923,30.16854109	PUBLIC INTOXICATION	2015	2	2010	2	
-97.61973923,30.16854109	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61973923,30.16854109	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61973923,30.16854109	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.61973923,30.16854109	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.61992349,30.34652648	IMPOUNDED VEH	2015	1	2010	3	
-97.61992349,30.34652648	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.61992349,30.34652648	PUBLIC INTOXICATION	2015	2	2010	2	
-97.61992349,30.34652648	DISTURBANCE - OTHER	2015	1	2010	2	
-97.61992349,30.34652648	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.61992349,30.34652648	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.61992349,30.34652648	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.61992349,30.34652648	THEFT INFORMATION	2015	1	2010	1	
-97.62008081,30.16798725	IMPOUNDED VEH	2015	1	2010	3	
-97.62008081,30.16798725	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62008081,30.16798725	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62008081,30.16798725	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62008081,30.16798725	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62008081,30.16798725	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62008081,30.16798725	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.62008081,30.16798725	THEFT INFORMATION	2015	1	2010	1	
-97.62008382,30.34567449	IMPOUNDED VEH	2015	1	2010	3	
-97.62008382,30.34567449	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62008382,30.34567449	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62008382,30.34567449	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62008382,30.34567449	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62008382,30.34567449	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62008382,30.34567449	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	2	
-97.62008382,30.34567449	THEFT INFORMATION	2015	1	2010	1	
-97.62021079,30.17406836	IMPOUNDED VEH	2015	1	2010	3	
-97.62021079,30.17406836	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62021079,30.17406836	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62021079,30.17406836	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62021079,30.17406836	POSS MARIJUANA	2015	1	2010	1	
-97.62021079,30.17406836	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62021079,30.17406836	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62021079,30.17406836	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62021079,30.17406836	THEFT INFORMATION	2015	1	2010	1	
-97.62160012,30.20950083	IMPOUNDED VEH	2015	1	2010	3	
-97.62160012,30.20950083	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62160012,30.20950083	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62160012,30.20950083	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62160012,30.20950083	POSS MARIJUANA	2015	1	2010	1	
-97.62160012,30.20950083	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62160012,30.20950083	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62160012,30.20950083	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62160012,30.20950083	THEFT INFORMATION	2015	1	2010	1	
-97.62189021,30.20401719	IMPOUNDED VEH	2015	1	2010	3	
-97.62189021,30.20401719	ABANDONED VEH	2015	1	2010	1	
-97.62189021,30.20401719	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62189021,30.20401719	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62189021,30.20401719	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62189021,30.20401719	POSS MARIJUANA	2015	1	2010	1	
-97.62189021,30.20401719	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62189021,30.20401719	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62189021,30.20401719	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62189021,30.20401719	THEFT INFORMATION	2015	1	2010	1	
-97.62284359,30.29925908	IMPOUNDED VEH	2015	1	2010	3	
-97.62284359,30.29925908	ABANDONED VEH	2015	1	2010	1	
-97.62284359,30.29925908	CRASH/LEAVING THE SCENE	2015	5	2010	5	
-97.62284359,30.29925908	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62284359,30.29925908	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62284359,30.29925908	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62284359,30.29925908	POSS MARIJUANA	2015	1	2010	1	
-97.62284359,30.29925908	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62284359,30.29925908	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62284359,30.29925908	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62284359,30.29925908	THEFT INFORMATION	2015	1	2010	1	
-97.62311073,30.16942939	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62311073,30.16942939	IMPOUNDED VEH	2015	1	2010	3	
-97.62311073,30.16942939	ABANDONED VEH	2015	1	2010	1	
-97.62311073,30.16942939	CRASH/LEAVING THE SCENE	2015	5	2010	6	
-97.62311073,30.16942939	THEFT	2015	1	2010	3	
-97.62311073,30.16942939	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62311073,30.16942939	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62311073,30.16942939	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62311073,30.16942939	POSS MARIJUANA	2015	1	2010	1	
-97.62311073,30.16942939	CRIMINAL MISCHIEF	2015	3	2010	2	
-97.62311073,30.16942939	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62311073,30.16942939	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62311073,30.16942939	DWI	2015	1	2010	2	
-97.62311073,30.16942939	THEFT INFORMATION	2015	1	2010	1	
-97.62320879,30.33106435	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62320879,30.33106435	IMPOUNDED VEH	2015	1	2010	4	
-97.62320879,30.33106435	ABANDONED VEH	2015	1	2010	1	
-97.62320879,30.33106435	CRASH/LEAVING THE SCENE	2015	5	2010	8	
-97.62320879,30.33106435	THEFT	2015	1	2010	3	
-97.62320879,30.33106435	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62320879,30.33106435	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62320879,30.33106435	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62320879,30.33106435	POSS MARIJUANA	2015	1	2010	1	
-97.62320879,30.33106435	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62320879,30.33106435	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62320879,30.33106435	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62320879,30.33106435	DWI	2015	1	2010	4	
-97.62320879,30.33106435	THEFT INFORMATION	2015	1	2010	1	
-97.62320879,30.33106435	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62328029,30.33122813	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62328029,30.33122813	IMPOUNDED VEH	2015	1	2010	4	
-97.62328029,30.33122813	ABANDONED VEH	2015	1	2010	1	
-97.62328029,30.33122813	CRASH/LEAVING THE SCENE	2015	8	2010	8	
-97.62328029,30.33122813	THEFT	2015	1	2010	3	
-97.62328029,30.33122813	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62328029,30.33122813	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62328029,30.33122813	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62328029,30.33122813	POSS MARIJUANA	2015	1	2010	1	
-97.62328029,30.33122813	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62328029,30.33122813	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62328029,30.33122813	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62328029,30.33122813	DWI	2015	1	2010	4	
-97.62328029,30.33122813	THEFT INFORMATION	2015	1	2010	1	
-97.62328029,30.33122813	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62336183,30.19817625	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62336183,30.19817625	IMPOUNDED VEH	2015	1	2010	4	
-97.62336183,30.19817625	ABANDONED VEH	2015	1	2010	1	
-97.62336183,30.19817625	CRASH/LEAVING THE SCENE	2015	9	2010	8	
-97.62336183,30.19817625	THEFT	2015	1	2010	3	
-97.62336183,30.19817625	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62336183,30.19817625	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62336183,30.19817625	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62336183,30.19817625	POSS MARIJUANA	2015	1	2010	1	
-97.62336183,30.19817625	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62336183,30.19817625	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62336183,30.19817625	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62336183,30.19817625	DWI	2015	1	2010	4	
-97.62336183,30.19817625	THEFT INFORMATION	2015	1	2010	1	
-97.62336183,30.19817625	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62343459,30.14614052	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62343459,30.14614052	IMPOUNDED VEH	2015	1	2010	4	
-97.62343459,30.14614052	ABANDONED VEH	2015	1	2010	1	
-97.62343459,30.14614052	CRASH/LEAVING THE SCENE	2015	9	2010	8	
-97.62343459,30.14614052	THEFT	2015	1	2010	3	
-97.62343459,30.14614052	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62343459,30.14614052	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62343459,30.14614052	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62343459,30.14614052	POSS MARIJUANA	2015	1	2010	1	
-97.62343459,30.14614052	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62343459,30.14614052	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62343459,30.14614052	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62343459,30.14614052	DWI	2015	2	2010	4	
-97.62343459,30.14614052	THEFT INFORMATION	2015	1	2010	1	
-97.62343459,30.14614052	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62345851,30.19450378	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62345851,30.19450378	IMPOUNDED VEH	2015	1	2010	4	
-97.62345851,30.19450378	ABANDONED VEH	2015	1	2010	1	
-97.62345851,30.19450378	CRASH/LEAVING THE SCENE	2015	9	2010	8	
-97.62345851,30.19450378	THEFT	2015	1	2010	3	
-97.62345851,30.19450378	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62345851,30.19450378	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62345851,30.19450378	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62345851,30.19450378	POSS MARIJUANA	2015	1	2010	1	
-97.62345851,30.19450378	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62345851,30.19450378	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62345851,30.19450378	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62345851,30.19450378	DWI	2015	2	2010	4	
-97.62345851,30.19450378	THEFT INFORMATION	2015	1	2010	1	
-97.62345851,30.19450378	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62402079,30.19330825	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62402079,30.19330825	IMPOUNDED VEH	2015	1	2010	4	
-97.62402079,30.19330825	ABANDONED VEH	2015	1	2010	1	
-97.62402079,30.19330825	CRASH/LEAVING THE SCENE	2015	9	2010	8	
-97.62402079,30.19330825	THEFT	2015	1	2010	3	
-97.62402079,30.19330825	PUBLIC INTOXICATION	2015	2	2010	2	
-97.62402079,30.19330825	FAMILY DISTURBANCE	2015	1	2010	1	
-97.62402079,30.19330825	DISTURBANCE - OTHER	2015	1	2010	2	
-97.62402079,30.19330825	POSS MARIJUANA	2015	1	2010	1	
-97.62402079,30.19330825	CRIMINAL MISCHIEF	2015	3	2010	3	
-97.62402079,30.19330825	DRIVING WHILE LICENSE INVALID	2015	2	2010	2	
-97.62402079,30.19330825	CUSTODY ARREST TRAFFIC WARR	2015	1	2010	3	
-97.62402079,30.19330825	DWI	2015	2	2010	4	
-97.62402079,30.19330825	THEFT INFORMATION	2015	1	2010	1	
-97.62402079,30.19330825	ASSAULT BY CONTACT FAM/DATING	2015	1	2010	1	
-97.62440436,30.19532416	ASSAULT WITH INJURY	2015	1	2010	1	
-97.62440436,30.19532416	IMPOUNDED VEH	2015	1	2010	4	
-97.62440436,30.19532416	ABANDONED VEH	2015	1	2010	1	
-97.62440436,30.19532416	CRASH/LEAVING THE SCENE	2015	9	2010	8	
